epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.0465,2.33188,4.05562,1.69476,0.02131,0.39532,0.03342,0.01464,2.01816,4.06043,1.37718,0.00014611,0.00014611,0.00014611
2,121.238,2.12956,2.93097,1.41875,0.03007,0.51355,0.07157,0.02959,1.93066,3.44229,1.28314,0.000293972,0.000293972,0.000293972
3,174.965,2.03861,2.42802,1.39082,0.82033,0.06157,0.07456,0.02934,2.0902,2.93121,1.39697,0.000435743,0.000435743,0.000435743
4,229.241,2.00729,2.31629,1.41115,0.81864,0.056,0.07234,0.02852,1.99901,3.04994,1.42832,0.000571424,0.000571424,0.000571424
5,283.407,1.93893,2.23306,1.37373,0.56725,0.06903,0.09033,0.03731,1.96893,2.55194,1.38836,0.000701014,0.000701014,0.000701014
6,336.211,1.91049,2.11164,1.39113,0.44762,0.13108,0.11006,0.04841,1.88694,2.24221,1.32444,0.000692869,0.000692869,0.000692869
7,389.421,1.87885,2.01463,1.3483,0.42737,0.17311,0.14585,0.0663,1.85893,2.01659,1.33097,0.000677643,0.000677643,0.000677643
8,441.675,1.88594,2.01019,1.3651,0.56812,0.17543,0.21384,0.10638,1.90378,2.00256,1.38584,0.000662417,0.000662417,0.000662417
9,494.434,1.86525,1.97421,1.34916,0.3813,0.17986,0.17004,0.07507,1.83292,1.93312,1.33061,0.00064719,0.00064719,0.00064719
10,550.905,1.84929,1.87971,1.31325,0.47755,0.19242,0.18708,0.08681,1.82282,1.85068,1.32112,0.000631964,0.000631964,0.000631964
11,603.718,1.82963,1.83972,1.32079,0.3317,0.25397,0.20587,0.10672,1.79493,1.78472,1.32723,0.000616738,0.000616738,0.000616738
12,659.129,1.82868,1.81948,1.34279,0.41421,0.25036,0.24329,0.13187,1.7939,1.81306,1.33121,0.000601512,0.000601512,0.000601512
13,714.555,1.80726,1.81166,1.30729,0.66415,0.23458,0.25894,0.12724,1.79511,1.80946,1.29353,0.000586286,0.000586286,0.000586286
14,769.903,1.82578,1.80146,1.30796,0.34116,0.30277,0.23355,0.11237,1.80128,1.73984,1.30398,0.000571059,0.000571059,0.000571059
15,825.48,1.79394,1.7666,1.3256,0.51998,0.26996,0.21685,0.10306,1.8072,1.73748,1.32458,0.000555833,0.000555833,0.000555833
16,881.346,1.81349,1.78274,1.30811,0.38423,0.29514,0.22467,0.10406,1.7796,1.73419,1.31528,0.000540607,0.000540607,0.000540607
17,937.16,1.79855,1.72563,1.27313,0.44326,0.25663,0.25548,0.11781,1.74252,1.71322,1.27124,0.000525381,0.000525381,0.000525381
18,993.267,1.79145,1.73379,1.28257,0.40206,0.27931,0.2561,0.11715,1.74318,1.69575,1.28315,0.000510155,0.000510155,0.000510155
19,1049,1.74479,1.67417,1.2748,0.34151,0.325,0.24591,0.12028,1.73101,1.68465,1.28052,0.000494928,0.000494928,0.000494928
20,1104.19,1.74076,1.66274,1.26447,0.47406,0.29042,0.26276,0.12981,1.73875,1.72178,1.28663,0.000479702,0.000479702,0.000479702
21,1158.24,1.76121,1.65518,1.26309,0.66426,0.28006,0.26753,0.13563,1.73634,1.69921,1.28356,0.000464476,0.000464476,0.000464476
22,1211.97,1.77738,1.60796,1.26688,0.51478,0.30921,0.27415,0.13694,1.74802,1.67562,1.28269,0.00044925,0.00044925,0.00044925
23,1264.66,1.74497,1.62648,1.27464,0.50013,0.31173,0.28037,0.14542,1.73086,1.69377,1.26832,0.000434024,0.000434024,0.000434024
24,1318.23,1.71823,1.60857,1.2425,0.39576,0.32365,0.26984,0.13785,1.74349,1.67977,1.27372,0.000418797,0.000418797,0.000418797
25,1372.08,1.70628,1.56888,1.24735,0.41976,0.34502,0.28762,0.14393,1.74952,1.63769,1.28655,0.000403571,0.000403571,0.000403571
26,1431.94,1.7322,1.56217,1.27132,0.44152,0.33697,0.28586,0.14509,1.74299,1.63236,1.29715,0.000388345,0.000388345,0.000388345
27,1515.01,1.72599,1.56033,1.27707,0.40872,0.35957,0.29368,0.14568,1.71524,1.61433,1.27734,0.000373119,0.000373119,0.000373119
28,1591.85,1.6937,1.53926,1.24131,0.49554,0.32886,0.30605,0.1545,1.72794,1.61862,1.27206,0.000357893,0.000357893,0.000357893
29,1659.74,1.70603,1.55784,1.24325,0.57064,0.33913,0.29465,0.1514,1.72681,1.62203,1.27367,0.000342666,0.000342666,0.000342666
